HourUTC;HourDK;ConnectedArea;SharePPM;ShareMWh
2024-12-30 14:00:00;2024-12-30 15:00:00;DK1;654432;4488,377922
2024-12-30 13:00:00;2024-12-30 14:00:00;DK1;615285;4121,779671
2024-12-30 13:00:00;2024-12-30 14:00:00;NO2;62316;417,456413
2024-12-30 13:00:00;2024-12-30 14:00:00;SE;15293;102,449070
2024-12-30 13:00:00;2024-12-30 14:00:00;GE;0;0,000000
2024-12-30 13:00:00;2024-12-30 14:00:00;NL;0;0,000000
2024-12-30 13:00:00;2024-12-30 14:00:00;DK2;307105;2057,288805
2024-12-30 12:00:00;2024-12-30 13:00:00;DK2;307723;2061,232939
2024-12-30 12:00:00;2024-12-30 13:00:00;NO2;67616;452,920033
2024-12-30 12:00:00;2024-12-30 13:00:00;SE;40051;268,280508
2024-12-30 12:00:00;2024-12-30 13:00:00;GE;0;0,000000
2024-12-30 12:00:00;2024-12-30 13:00:00;NL;0;0,000000
2024-12-30 12:00:00;2024-12-30 13:00:00;DK1;584608;3915,902213
2024-12-30 11:00:00;2024-12-30 12:00:00;DK1;555208;3681,757367
2024-12-30 11:00:00;2024-12-30 12:00:00;DK2;310063;2056,123929
2024-12-30 11:00:00;2024-12-30 12:00:00;NL;0;0,000000
2024-12-30 11:00:00;2024-12-30 12:00:00;GE;0;0,000000
2024-12-30 11:00:00;2024-12-30 12:00:00;SE;51525;341,681945
2024-12-30 11:00:00;2024-12-30 12:00:00;NO2;83202;551,741820
2024-12-30 10:00:00;2024-12-30 11:00:00;SE;52800;348,282004
2024-12-30 10:00:00;2024-12-30 11:00:00;NO2;91598;604,199245
2024-12-30 10:00:00;2024-12-30 11:00:00;DK1;543624;3585,849743
2024-12-30 10:00:00;2024-12-30 11:00:00;DK2;311977;2057,860438
2024-12-30 10:00:00;2024-12-30 11:00:00;GE;0;0,000000
2024-12-30 10:00:00;2024-12-30 11:00:00;NL;0;0,000000
2024-12-30 09:00:00;2024-12-30 10:00:00;DK2;309794;2020,128032
2024-12-30 09:00:00;2024-12-30 10:00:00;NO2;72911;475,448963
2024-12-30 09:00:00;2024-12-30 10:00:00;SE;86151;561,781728
2024-12-30 09:00:00;2024-12-30 10:00:00;GE;0;0,000000
2024-12-30 09:00:00;2024-12-30 10:00:00;NL;0;0,000000
2024-12-30 09:00:00;2024-12-30 10:00:00;DK1;531141;3463,501807
2024-12-30 08:00:00;2024-12-30 09:00:00;SE;99732;636,689840
2024-12-30 08:00:00;2024-12-30 09:00:00;NO2;29421;187,824525
2024-12-30 08:00:00;2024-12-30 09:00:00;DK2;312330;1993,918633
2024-12-30 08:00:00;2024-12-30 09:00:00;GE;0;0,000000
2024-12-30 08:00:00;2024-12-30 09:00:00;NL;0;0,000000
2024-12-30 08:00:00;2024-12-30 09:00:00;DK1;558515;3565,560570
2024-12-30 07:00:00;2024-12-30 08:00:00;NO2;0;0,000000
2024-12-30 07:00:00;2024-12-30 08:00:00;SE;74300;466,118716
2024-12-30 07:00:00;2024-12-30 08:00:00;DK1;616155;3865,397332
2024-12-30 07:00:00;2024-12-30 08:00:00;GE;0;0,000000
2024-12-30 07:00:00;2024-12-30 08:00:00;NL;0;0,000000
2024-12-30 07:00:00;2024-12-30 08:00:00;DK2;309543;1941,894209
2024-12-30 06:00:00;2024-12-30 07:00:00;DK1;685199;4220,142950
2024-12-30 06:00:00;2024-12-30 07:00:00;DK2;303525;1869,415280
2024-12-30 06:00:00;2024-12-30 07:00:00;NO2;0;0,000000
2024-12-30 06:00:00;2024-12-30 07:00:00;SE;11274;69,439265
2024-12-30 06:00:00;2024-12-30 07:00:00;GE;0;0,000000
2024-12-30 06:00:00;2024-12-30 07:00:00;NL;0;0,000000
2024-12-30 05:00:00;2024-12-30 06:00:00;DK1;719790;4509,955557
2024-12-30 05:00:00;2024-12-30 06:00:00;DK2;280209;1755,693613
2024-12-30 05:00:00;2024-12-30 06:00:00;NO2;0;0,000000
2024-12-30 05:00:00;2024-12-30 06:00:00;SE;0;0,000000
2024-12-30 05:00:00;2024-12-30 06:00:00;GE;0;0,000000
2024-12-30 05:00:00;2024-12-30 06:00:00;NL;0;0,000000
2024-12-30 04:00:00;2024-12-30 05:00:00;DK1;746332;4801,799785
2024-12-30 04:00:00;2024-12-30 05:00:00;DK2;253667;1632,057332
2024-12-30 04:00:00;2024-12-30 05:00:00;NO2;0;0,000000
2024-12-30 04:00:00;2024-12-30 05:00:00;SE;0;0,000000
2024-12-30 04:00:00;2024-12-30 05:00:00;GE;0;0,000000
2024-12-30 04:00:00;2024-12-30 05:00:00;NL;0;0,000000
2024-12-30 03:00:00;2024-12-30 04:00:00;DK1;754984;5008,017873
2024-12-30 03:00:00;2024-12-30 04:00:00;DK2;245015;1625,254223
2024-12-30 03:00:00;2024-12-30 04:00:00;NO2;0;0,000000
2024-12-30 03:00:00;2024-12-30 04:00:00;SE;0;0,000000
2024-12-30 03:00:00;2024-12-30 04:00:00;GE;0;0,000000
2024-12-30 03:00:00;2024-12-30 04:00:00;NL;0;0,000000
2024-12-30 02:00:00;2024-12-30 03:00:00;DK1;760648;5042,731838
2024-12-30 02:00:00;2024-12-30 03:00:00;DK2;239351;1586,784331
2024-12-30 02:00:00;2024-12-30 03:00:00;NO2;0;0,000000
2024-12-30 02:00:00;2024-12-30 03:00:00;SE;0;0,000000
2024-12-30 02:00:00;2024-12-30 03:00:00;GE;0;0,000000
2024-12-30 02:00:00;2024-12-30 03:00:00;NL;0;0,000000
2024-12-30 01:00:00;2024-12-30 02:00:00;DK2;244688;1630,236708
2024-12-30 01:00:00;2024-12-30 02:00:00;DK1;755311;5032,256293
2024-12-30 01:00:00;2024-12-30 02:00:00;NO2;0;0,000000
2024-12-30 01:00:00;2024-12-30 02:00:00;SE;0;0,000000
2024-12-30 01:00:00;2024-12-30 02:00:00;GE;0;0,000000
2024-12-30 01:00:00;2024-12-30 02:00:00;NL;0;0,000000
2024-12-30 00:00:00;2024-12-30 01:00:00;DK1;750731;4991,120874
2024-12-30 00:00:00;2024-12-30 01:00:00;DK2;249268;1657,219331
2024-12-30 00:00:00;2024-12-30 01:00:00;NO2;0;0,000000
2024-12-30 00:00:00;2024-12-30 01:00:00;SE;0;0,000000
2024-12-30 00:00:00;2024-12-30 01:00:00;GE;0;0,000000
2024-12-30 00:00:00;2024-12-30 01:00:00;NL;0;0,000000
2024-12-29 23:00:00;2024-12-30 00:00:00;DK1;751275;4946,299384
2024-12-29 23:00:00;2024-12-30 00:00:00;DK2;248724;1637,571483
2024-12-29 23:00:00;2024-12-30 00:00:00;NO2;0;0,000000
2024-12-29 23:00:00;2024-12-30 00:00:00;SE;0;0,000000
2024-12-29 23:00:00;2024-12-30 00:00:00;GE;0;0,000000
2024-12-29 23:00:00;2024-12-30 00:00:00;NL;0;0,000000
2024-12-29 22:00:00;2024-12-29 23:00:00;DK2;265962;1689,311349
2024-12-29 22:00:00;2024-12-29 23:00:00;DK1;684694;4348,975830
2024-12-29 22:00:00;2024-12-29 23:00:00;NO2;0;0,000000
2024-12-29 22:00:00;2024-12-29 23:00:00;SE;49343;313,413466
2024-12-29 22:00:00;2024-12-29 23:00:00;GE;0;0,000000
2024-12-29 22:00:00;2024-12-29 23:00:00;NL;0;0,000000
2024-12-29 21:00:00;2024-12-29 22:00:00;DK1;730990;4801,326549
2024-12-29 21:00:00;2024-12-29 22:00:00;DK2;259604;1705,146512
2024-12-29 21:00:00;2024-12-29 22:00:00;NO2;0;0,000000
2024-12-29 21:00:00;2024-12-29 22:00:00;SE;9404;61,772442
2024-12-29 21:00:00;2024-12-29 22:00:00;GE;0;0,000000
2024-12-29 21:00:00;2024-12-29 22:00:00;NL;0;0,000000
2024-12-29 20:00:00;2024-12-29 21:00:00;DK1;733614;5022,540683
2024-12-29 20:00:00;2024-12-29 21:00:00;DK2;266385;1823,756287
2024-12-29 20:00:00;2024-12-29 21:00:00;NO2;0;0,000000
2024-12-29 20:00:00;2024-12-29 21:00:00;SE;0;0,000000
2024-12-29 20:00:00;2024-12-29 21:00:00;GE;0;0,000000
2024-12-29 20:00:00;2024-12-29 21:00:00;NL;0;0,000000
2024-12-29 19:00:00;2024-12-29 20:00:00;DK1;724031;4948,901910
2024-12-29 19:00:00;2024-12-29 20:00:00;DK2;275968;1886,303719
2024-12-29 19:00:00;2024-12-29 20:00:00;NO2;0;0,000000
2024-12-29 19:00:00;2024-12-29 20:00:00;SE;0;0,000000
2024-12-29 19:00:00;2024-12-29 20:00:00;GE;0;0,000000
2024-12-29 19:00:00;2024-12-29 20:00:00;NL;0;0,000000
2024-12-29 18:00:00;2024-12-29 19:00:00;NO2;0;0,000000
2024-12-29 18:00:00;2024-12-29 19:00:00;SE;0;0,000000
2024-12-29 18:00:00;2024-12-29 19:00:00;GE;0;0,000000
2024-12-29 18:00:00;2024-12-29 19:00:00;NL;0;0,000000
2024-12-29 18:00:00;2024-12-29 19:00:00;DK2;277313;1900,882233
2024-12-29 18:00:00;2024-12-29 19:00:00;DK1;722686;4953,751417
2024-12-29 17:00:00;2024-12-29 18:00:00;DK2;274149;1903,025625
2024-12-29 17:00:00;2024-12-29 18:00:00;DK1;709131;4922,480759
2024-12-29 17:00:00;2024-12-29 18:00:00;NO2;0;0,000000
2024-12-29 17:00:00;2024-12-29 18:00:00;SE;16718;116,051657
2024-12-29 17:00:00;2024-12-29 18:00:00;GE;0;0,000000
2024-12-29 17:00:00;2024-12-29 18:00:00;NL;0;0,000000
2024-12-29 16:00:00;2024-12-29 17:00:00;DK2;263741;1844,826818
2024-12-29 16:00:00;2024-12-29 17:00:00;DK1;696298;4870,479537
2024-12-29 16:00:00;2024-12-29 17:00:00;NO2;3455;24,167341
2024-12-29 16:00:00;2024-12-29 17:00:00;SE;36505;255,346816
2024-12-29 16:00:00;2024-12-29 17:00:00;GE;0;0,000000
2024-12-29 16:00:00;2024-12-29 17:00:00;NL;0;0,000000
2024-12-29 15:00:00;2024-12-29 16:00:00;DK2;255689;1747,522966
2024-12-29 15:00:00;2024-12-29 16:00:00;DK1;684396;4677,538776
2024-12-29 15:00:00;2024-12-29 16:00:00;NO2;13365;91,346356
2024-12-29 15:00:00;2024-12-29 16:00:00;SE;46547;318,133501
2024-12-29 15:00:00;2024-12-29 16:00:00;GE;0;0,000000
2024-12-29 15:00:00;2024-12-29 16:00:00;NL;0;0,000000
2024-12-29 14:00:00;2024-12-29 15:00:00;DK1;658184;4459,097139
2024-12-29 14:00:00;2024-12-29 15:00:00;DK2;246203;1667,993074
2024-12-29 14:00:00;2024-12-29 15:00:00;NO2;31894;216,083456
2024-12-29 14:00:00;2024-12-29 15:00:00;SE;63716;431,671243
2024-12-29 14:00:00;2024-12-29 15:00:00;GE;0;0,000000
2024-12-29 14:00:00;2024-12-29 15:00:00;NL;0;0,000000
2024-12-29 13:00:00;2024-12-29 14:00:00;DK1;647200;4358,246976
2024-12-29 13:00:00;2024-12-29 14:00:00;DK2;243862;1642,168187
2024-12-29 13:00:00;2024-12-29 14:00:00;NO2;35202;237,052770
2024-12-29 13:00:00;2024-12-29 14:00:00;SE;73735;496,532371
2024-12-29 13:00:00;2024-12-29 14:00:00;GE;0;0,000000
2024-12-29 13:00:00;2024-12-29 14:00:00;NL;0;0,000000
2024-12-29 12:00:00;2024-12-29 13:00:00;DK2;238725;1573,467611
2024-12-29 12:00:00;2024-12-29 13:00:00;DK1;656661;4328,128344
2024-12-29 12:00:00;2024-12-29 13:00:00;NO2;23193;152,868473
2024-12-29 12:00:00;2024-12-29 13:00:00;SE;81420;536,650460
2024-12-29 12:00:00;2024-12-29 13:00:00;GE;0;0,000000
2024-12-29 12:00:00;2024-12-29 13:00:00;NL;0;0,000000
2024-12-29 11:00:00;2024-12-29 12:00:00;DK1;645422;4331,677534
2024-12-29 11:00:00;2024-12-29 12:00:00;DK2;234286;1572,385555
2024-12-29 11:00:00;2024-12-29 12:00:00;NO2;25670;172,281648
2024-12-29 11:00:00;2024-12-29 12:00:00;SE;94621;635,043251
2024-12-29 11:00:00;2024-12-29 12:00:00;GE;0;0,000000
2024-12-29 11:00:00;2024-12-29 12:00:00;NL;0;0,000000
2024-12-29 10:00:00;2024-12-29 11:00:00;DK2;245047;1651,420350
